min_x,min_y,max_x,max_y,frame,label
730,330,770,360,56,1
770,280,810,330,57,1
810,270,830,280,58,1
870,190,920,240,60,1
910,170,930,190,61,1
870,220,880,230,63,1
400,150,770,530,64,0
800,410,880,600,66,0
860,200,890,250,69,1
760,280,830,340,70,1
370,370,650,490,71,0
730,370,750,380,73,1
730,380,750,400,74,1
750,390,760,410,75,1
730,400,760,420,76,1
490,170,510,180,77,0
770,430,800,470,78,1
710,140,720,250,79,0
1000,400,1010,410,80,0
510,310,1040,400,84,0
890,560,940,600,87,1
700,120,740,290,89,0
730,400,800,470,93,1
720,390,740,410,94,1
670,370,730,410,95,1
690,360,710,370,96,1
700,340,730,360,97,1
700,280,730,330,99,1
700,220,740,280,100,1
700,140,740,210,101,1
710,80,740,140,102,1
700,230,740,320,106,1
700,330,730,390,107,1
770,310,790,320,109,0
720,380,750,410,111,1
720,630,830,700,112,0
820,440,830,450,120,0
680,380,740,410,121,1
670,380,700,400,126,1
890,600,970,680,127,0
600,360,640,370,128,1
610,340,630,350,129,1
560,450,570,460,130,0
660,370,670,380,131,1
720,590,850,710,132,0
370,320,480,500,133,0
620,170,650,230,134,0
380,570,490,690,135,0
680,350,720,380,137,1
1060,350,1070,370,138,0
370,360,430,480,139,0
700,100,800,320,140,0
660,450,740,540,143,0
860,390,880,400,145,0
660,360,680,380,148,1
470,120,500,140,149,0
670,380,710,410,150,1
700,400,710,440,151,1
770,590,800,620,152,0
700,410,720,440,154,1
650,50,740,430,157,0
700,540,720,560,158,1
690,590,720,670,159,1
860,380,960,420,160,0
730,640,750,660,164,0
490,120,830,550,165,0
700,600,720,610,166,1
720,160,750,370,167,0
690,390,720,430,168,1
400,110,970,690,169,0
640,330,650,340,171,0
480,170,930,490,173,0
570,440,630,550,174,0
520,250,700,650,175,0
730,640,820,720,176,0
550,160,950,650,177,0
830,340,1030,430,179,0
1000,370,1020,380,180,0
620,240,630,250,181,1
600,260,630,290,189,1
660,330,700,370,190,1
690,370,700,380,191,1
700,350,720,390,193,1
720,380,750,400,194,1
690,380,700,390,198,1
480,470,560,550,200,0
540,470,550,480,201,0
760,360,770,380,205,1
640,640,790,720,206,0
750,390,800,490,211,0
430,560,560,700,213,0
710,390,740,410,215,1
680,440,790,520,216,0
750,370,770,380,217,1
400,370,530,420,218,0
670,300,700,330,221,0
550,680,570,700,222,0
450,430,700,650,223,0
380,640,390,650,228,0
500,210,530,240,230,0
760,360,830,390,231,1
710,370,760,390,232,1
710,360,720,370,233,1
720,350,740,360,234,1
690,360,720,390,235,1
670,360,700,390,236,1
670,340,700,360,237,1
800,240,890,260,238,0
450,470,480,540,239,0
470,160,550,260,242,0
450,200,480,230,243,0
660,340,670,350,244,1
630,290,670,330,245,1
570,230,620,280,247,1
540,200,580,230,248,1
510,160,520,170,249,1
980,560,1000,590,251,0
820,160,970,280,252,0
670,330,710,380,253,1
710,350,740,380,254,1
410,330,800,650,255,0
720,390,740,410,258,1
370,320,960,710,260,0
680,450,710,490,262,0
700,420,720,440,264,1
700,50,750,190,265,0
370,320,680,690,267,0
860,520,870,530,269,1
670,650,780,660,271,0
460,530,470,550,275,0
690,200,710,230,278,0
710,380,760,430,279,1
670,350,720,390,280,1
360,360,690,410,281,0
750,130,970,350,282,0
520,130,820,440,283,0
770,250,860,390,285,0
660,360,680,380,288,1
660,380,680,390,289,1
660,50,1060,410,290,0
810,470,820,490,293,0
450,530,560,720,295,0
690,320,710,330,0,1
570,450,730,600,5,0
670,340,690,360,6,1
650,340,690,370,7,1
520,570,640,680,10,0
410,460,760,560,11,0
360,380,670,450,12,0
520,330,650,460,15,0
660,350,690,360,16,1
620,340,790,550,17,0
650,370,670,390,20,1
670,390,690,400,21,1
960,340,1060,410,22,0
690,380,710,410,25,1
650,360,690,400,26,1
940,340,1060,390,29,0
680,350,720,390,30,1
690,380,720,420,32,1
720,390,730,410,33,1
680,400,710,430,35,1
700,430,710,440,36,1
710,400,720,420,37,1
700,360,730,400,38,1
700,350,730,370,39,1
420,330,540,340,40,0
440,700,450,710,46,0
660,350,670,360,47,1
650,370,680,380,48,1
460,260,990,430,49,0
600,620,750,710,51,0
480,190,550,290,54,0
490,250,500,260,55,0
670,380,690,390,56,1
690,330,710,360,57,1
690,130,1040,440,58,0
560,560,810,710,60,0
680,390,710,420,61,1
680,220,1050,350,62,0
520,370,650,450,65,0
390,680,400,700,66,0
640,370,650,380,67,1
900,340,1010,420,70,0
720,330,730,340,74,0
680,50,730,130,77,0
760,550,980,660,85,0
650,400,680,420,87,1
490,280,1060,400,88,0
980,340,990,360,91,0
810,450,860,590,93,0
700,380,730,400,95,1
660,340,690,370,97,1
350,370,680,640,98,0
690,370,700,390,101,1
450,120,530,210,102,0
710,280,720,290,105,0
520,200,900,600,107,0
710,110,730,200,109,0
680,130,730,140,111,0
540,250,860,550,116,0
640,370,660,390,118,1
990,380,1000,400,119,0
660,280,800,390,120,0
360,390,410,490,124,0
700,160,710,170,125,0
660,390,690,410,126,1
640,410,670,420,127,1
650,370,660,390,131,1
480,120,880,360,132,0
890,600,940,650,134,0
710,290,730,310,143,0
630,390,980,600,145,0
650,400,660,420,147,1
650,400,660,410,148,1
430,210,940,650,149,0
650,370,660,380,151,1
790,260,820,290,152,0
660,350,680,370,153,1
660,340,690,360,154,1
690,340,700,370,156,1
690,320,700,330,157,1
760,350,770,390,161,0
650,340,660,350,162,1
650,330,660,340,163,1
690,370,700,380,165,1
1040,340,1060,370,168,0
350,330,430,370,173,0
480,380,500,400,177,0
680,210,730,270,181,0
880,340,940,350,182,0
890,120,960,180,190,0
910,120,920,130,191,0
460,240,650,280,192,0
680,120,730,140,193,0
450,270,830,720,196,0
680,70,730,280,199,0
870,190,880,230,201,0
760,460,770,470,203,0
350,330,530,500,205,0
560,660,660,720,207,0
670,460,830,710,209,0
680,210,730,280,210,0
760,630,770,640,213,0
700,360,710,380,216,1
700,340,720,370,217,1
560,430,570,440,219,0
710,350,740,380,221,1
710,380,750,400,222,1
900,340,990,420,225,0
910,360,980,380,226,0
730,340,750,350,227,1
590,210,640,270,228,0
660,390,710,400,231,0
730,360,750,380,232,1
720,380,750,400,233,1
800,220,880,240,234,0
650,380,690,430,235,1
430,170,920,650,236,0
610,430,640,460,238,1
660,390,700,420,239,1
680,380,700,390,241,1
480,270,810,310,242,0
690,420,710,450,243,1
710,390,730,420,249,1
460,160,510,210,251,0
660,380,670,390,252,1
900,120,930,150,255,0
630,320,640,330,261,0
950,590,960,600,263,0
560,570,830,710,264,0
640,470,680,510,266,0
660,100,780,320,268,0
610,320,740,540,269,0
400,440,830,450,271,0
1010,390,1050,420,273,0
420,430,860,530,274,0
610,540,660,580,275,0
510,360,550,380,277,1
420,370,530,460,278,0
650,370,680,410,279,1
670,370,690,400,281,1
680,350,710,390,282,1
670,330,700,360,283,1
670,340,680,350,285,1
480,200,500,220,286,0
690,630,800,720,288,0
450,420,860,630,290,0
1020,340,1060,400,292,0
450,120,530,350,293,0
880,360,970,440,296,0
570,330,590,350,297,0
470,270,1030,350,298,0
650,360,660,370,299,1
460,150,1050,400,304,0
350,330,400,400,306,0
500,140,940,640,307,0
370,550,380,570,309,0
870,600,900,610,312,0
750,300,800,310,319,0
650,370,660,380,321,1
950,380,980,410,322,0
680,50,730,170,323,0
680,180,730,300,325,0
930,380,940,410,327,0
640,130,1050,540,328,0
850,470,890,600,330,0
720,350,730,360,331,1
720,390,740,410,333,1
670,360,690,390,334,1
720,370,730,380,335,1
710,350,730,370,336,1
690,340,710,360,337,1
720,460,970,590,338,0
780,470,890,600,342,0
400,190,860,620,346,0
490,260,730,550,348,0
760,370,770,380,352,0
630,330,640,340,353,0
780,480,800,490,355,0
460,160,470,180,356,0
730,650,780,680,357,0
670,330,690,350,358,1
670,160,730,250,359,0
470,650,490,670,361,0
840,560,850,580,369,0
630,560,730,610,374,0
610,680,660,720,375,0
670,330,680,340,378,1
650,330,660,340,379,1
660,330,680,340,381,1
680,320,700,350,382,1
550,260,590,610,386,0
690,380,710,390,388,1
700,330,720,350,389,1
700,320,710,330,390,1
740,460,980,630,391,0
690,300,710,320,393,1
680,40,730,100,394,0
810,480,930,600,395,0
700,320,710,330,400,1
720,350,730,370,402,1
730,330,750,350,403,1
680,190,730,280,404,0
440,640,560,720,406,0
730,500,780,550,409,0
420,330,490,350,411,0
880,170,930,220,412,1
890,200,910,220,413,1
610,590,660,640,414,0
760,260,820,320,416,1
730,310,760,350,417,1
690,340,730,380,418,1
640,360,700,390,419,1
800,340,940,420,420,1
680,80,730,260,421,0
670,400,680,410,422,1
410,590,500,680,424,0
610,170,620,180,425,0
890,150,950,200,426,0
680,460,720,530,427,1
680,530,710,580,428,1
680,570,710,650,429,1
680,630,720,670,430,1
800,510,810,520,434,0
680,530,710,590,438,1
680,440,720,520,439,1
370,370,500,460,440,0
690,420,710,440,441,1
680,370,710,410,442,1
660,350,690,390,443,1
560,410,650,530,448,0
950,380,990,400,449,0
680,330,700,350,450,1
700,50,730,80,451,0
710,330,750,370,452,1
670,340,700,370,0,1
650,350,680,380,1,1
670,390,680,400,2,1
690,420,710,430,3,1
700,390,730,420,4,1
720,390,750,420,5,1
420,580,770,680,6,0
500,310,620,430,8,0
690,420,710,450,9,1
690,440,710,460,10,1
490,330,530,340,11,0
920,350,930,360,12,0
710,380,720,400,13,1
710,340,740,370,14,1
720,340,730,350,16,1
550,390,560,400,17,0
690,310,720,370,18,1
720,360,730,390,19,1
650,350,700,390,20,1
790,580,890,690,21,0
670,370,700,430,22,1
680,420,720,470,23,1
690,530,710,590,24,1
700,610,710,660,25,1
720,590,740,600,26,0
680,640,700,660,28,1
890,190,910,220,31,0
680,510,720,610,32,1
690,390,730,470,33,1
730,370,760,410,34,1
460,150,520,210,36,0
700,340,730,400,37,1
680,250,710,330,38,1
690,170,720,240,39,1
690,130,720,180,40,1
680,90,730,140,41,1
530,450,610,530,42,0
450,170,940,660,44,0
690,210,720,290,46,1
680,340,710,410,47,1
660,380,680,400,48,1
600,410,610,420,49,0
690,410,710,430,50,1
440,280,860,640,52,0
650,380,700,430,55,1
690,380,710,420,57,1
710,390,720,410,58,1
720,450,980,660,59,0
610,580,710,680,60,0
500,430,730,700,62,0
820,450,830,460,63,0
700,340,790,440,64,0
770,360,780,370,65,1
810,450,980,660,66,0
830,450,840,460,67,0
960,410,990,420,68,0
730,360,740,370,70,1
730,360,740,370,72,1
660,390,680,410,75,1
630,370,660,390,76,1
670,370,680,380,77,1
650,340,680,370,78,1
670,80,880,510,80,0
660,360,680,370,83,1
680,280,770,380,84,1
740,380,750,390,87,1
740,530,760,540,88,0
420,300,850,690,92,0
690,170,730,340,93,0
630,270,650,290,94,0
680,340,730,390,98,1
690,330,700,340,99,1
790,240,850,290,101,0
760,340,810,350,105,0
700,320,720,340,106,1
670,340,700,360,108,1
660,340,670,350,110,1
680,160,760,330,111,0
650,370,680,400,113,1
660,380,700,440,114,1
480,610,610,720,115,0
490,200,560,260,116,0
680,550,710,640,117,1
680,630,710,690,118,1
700,630,720,660,121,1
430,490,560,500,122,0
680,430,720,510,123,1
700,410,710,420,124,1
390,340,600,500,126,0
690,380,720,410,129,1
580,50,840,490,130,0
690,350,710,380,132,1
650,330,700,370,133,1
550,360,690,460,134,0
680,370,700,400,136,1
670,350,680,360,137,1
400,630,490,720,138,0
560,380,610,430,143,0
680,50,730,120,145,0
540,340,850,680,146,0
660,370,720,400,149,1
510,640,590,720,150,0
680,50,730,230,151,0
710,50,730,60,154,0
690,400,710,440,158,1
650,390,700,420,159,1
640,370,660,390,160,1
370,630,520,640,161,0
420,350,470,370,165,1
830,450,840,570,166,0
820,340,930,420,167,0
840,360,890,380,168,0
470,200,830,580,169,0
390,660,400,670,171,0
660,380,720,410,174,1
710,370,760,400,175,1
460,620,480,630,176,0
750,430,940,640,181,0
730,370,750,390,187,1
690,360,730,390,188,1
690,60,710,270,189,0
490,410,500,420,192,0
780,340,1060,580,193,0
750,280,760,330,194,0
690,340,710,360,196,1
610,280,830,390,197,0
720,330,740,360,199,1
460,160,710,370,200,0
420,440,740,600,201,0
680,340,700,360,202,1
640,310,670,360,203,1
860,490,870,510,206,0
440,330,460,340,215,0
660,350,710,390,220,1
620,420,670,550,221,0
690,470,710,520,222,1
710,460,720,470,223,1
400,370,630,410,226,0
680,400,720,490,228,1
460,160,530,220,229,0
530,290,540,300,231,0
680,120,690,160,232,0
910,130,950,170,237,1
610,580,740,630,239,0
760,270,810,330,241,1
680,360,730,410,242,1
640,360,690,400,243,1
380,470,790,720,246,0
440,150,920,640,254,0
950,340,1040,420,256,0
510,110,810,660,257,0
390,210,940,700,259,0
680,60,730,250,261,0
580,340,590,350,264,0
370,480,450,570,266,0
600,170,630,250,267,0
600,370,720,480,270,0
350,370,540,720,271,0
550,230,560,240,273,1
540,210,580,260,275,1
640,310,650,320,276,1
650,340,690,390,277,1
720,140,960,330,278,0
680,400,720,470,280,1
680,510,710,610,281,1
680,600,710,660,282,1
470,110,530,200,285,0
680,660,710,700,286,1
680,670,710,710,288,1
400,370,940,690,289,0
930,340,940,360,292,0
590,170,840,360,293,0
700,440,710,450,294,1
610,300,620,310,295,0
690,340,830,550,296,0
690,380,720,420,297,1
710,360,750,400,298,1
730,370,760,400,299,1
840,370,850,380,301,1
910,390,920,400,305,1
720,370,760,390,309,1
670,430,730,530,310,0
680,330,720,360,311,1
660,340,690,370,312,1
740,340,780,350,316,0
700,330,720,390,318,1
740,300,780,350,319,1
820,220,870,270,320,1
870,180,910,210,321,1
370,370,870,670,322,0
440,330,920,640,324,0
410,520,420,550,326,0
900,150,930,190,327,1
760,270,810,330,328,1
740,320,750,330,329,1
740,320,750,350,332,1
650,380,710,420,333,1
600,420,650,470,336,1
480,520,540,580,337,1
470,560,490,590,338,1
500,540,510,550,339,1
560,480,580,500,342,1
750,280,830,370,343,0
520,370,570,420,344,0
490,210,530,250,345,0
480,230,500,270,346,0
430,340,460,350,347,0
480,220,650,280,349,0
680,100,710,180,350,0
700,390,740,420,355,1
470,210,980,600,357,0
730,440,740,450,358,0
710,100,730,120,359,0
690,350,730,390,360,1
690,330,720,370,361,1
500,310,630,390,363,0
490,350,530,370,364,0
880,190,890,200,365,0
670,330,690,350,366,1
650,280,840,470,368,0
650,360,670,370,369,1
650,360,680,390,370,1
900,380,970,420,371,0
690,370,700,380,372,1
530,260,620,350,374,0
700,350,760,390,375,1
690,130,730,290,377,0
690,490,710,530,379,1
680,670,720,700,381,1
680,660,700,670,383,1
710,630,720,660,384,1
880,160,890,220,386,0
690,620,710,640,388,1
400,370,410,380,389,0
680,450,720,530,390,1
690,390,740,440,391,1
730,410,770,450,392,1
780,450,830,500,393,1
870,540,920,600,394,1
480,250,490,270,395,0
740,670,760,690,396,0
690,330,730,390,100,1
660,330,720,380,105,1
650,340,720,380,106,1
660,320,720,370,110,1
660,320,720,370,111,1
680,370,720,440,114,1
700,380,770,430,118,1
650,370,710,410,12,1
710,380,770,420,120,1
710,380,760,440,122,1
710,380,750,430,123,1
700,370,740,440,125,1
700,380,740,430,126,1
700,380,740,440,127,1
700,380,750,430,128,1
700,400,770,440,130,1
760,280,810,340,137,1
880,170,930,240,145,1
880,170,940,230,146,1
870,180,930,230,148,1
700,320,760,370,152,1
660,340,710,380,154,1
660,320,710,380,156,1
690,290,730,360,164,1
660,330,700,400,18,1
760,280,820,330,182,1
770,290,820,330,183,1
770,290,820,330,185,1
690,440,740,510,192,1
680,630,720,680,200,1
680,640,720,700,202,1
670,620,730,720,205,1
690,300,740,370,214,1
690,300,730,370,215,1
690,300,730,370,216,1
690,300,730,370,217,1
690,320,730,380,218,1
690,320,740,380,220,1
690,320,730,380,223,1
670,330,720,380,226,1
660,370,710,420,230,1
660,360,700,420,231,1
660,370,710,410,232,1
660,370,710,420,233,1
660,360,710,410,234,1
670,390,730,440,24,1
860,360,950,400,240,1
890,360,960,400,241,1
900,360,970,390,242,1
900,360,980,390,244,1
880,360,970,400,245,1
940,360,1040,400,247,1
940,360,1030,400,248,1
920,360,1000,400,249,1
680,330,750,380,253,1
700,290,740,370,257,1
690,290,740,370,258,1
690,290,740,370,260,1
690,330,740,380,263,1
660,340,710,380,274,1
650,340,720,380,275,1
650,340,700,390,277,1
550,470,620,520,283,1
550,470,630,520,284,1
550,480,600,520,287,1
620,400,690,450,29,1
710,370,760,420,294,1
720,330,770,390,298,1
660,340,730,380,301,1
660,320,720,370,305,1
680,380,730,440,333,1
700,380,760,430,335,1
730,360,800,410,34,1
880,180,930,220,347,1
660,380,710,420,353,1
680,380,710,420,356,1
720,360,770,420,360,1
720,360,770,420,363,1
720,360,770,420,364,1
720,370,770,420,365,1
660,320,730,380,371,1
600,250,670,330,376,1
600,250,660,320,377,1
500,150,560,200,380,1
490,130,560,200,383,1
620,270,680,340,386,1
620,280,670,330,387,1
650,360,710,390,39,1
700,350,770,390,391,1
720,370,760,430,394,1
720,370,760,420,395,1
720,380,760,430,396,1
650,350,700,390,40,1
790,350,870,400,406,1
960,360,1040,400,413,1
970,360,1030,400,414,1
780,350,830,390,418,1
780,350,820,380,419,1
780,350,820,380,420,1
790,350,840,380,421,1
800,350,860,390,422,1
670,380,730,420,426,1
660,380,730,420,427,1
680,380,720,420,430,1
670,380,720,420,433,1
660,380,720,420,436,1
670,380,720,420,438,1
670,380,730,420,441,1
670,380,720,420,442,1
670,380,720,420,444,1
670,380,720,430,445,1
670,380,720,420,446,1
680,380,730,420,447,1
690,390,750,440,45,1
660,380,730,420,450,1
600,250,660,320,58,1
600,260,660,320,59,1
710,370,760,420,6,1
600,260,660,320,60,1
700,320,750,370,66,1
720,380,760,420,70,1
700,390,750,440,72,1
690,370,740,430,75,1
660,380,720,420,78,1
640,390,710,440,81,1
620,400,680,460,83,1
660,390,720,420,9,1
700,330,730,390,97,1
700,330,740,390,98,1
690,330,730,390,99,1
